customer_id,first_name,last_name,email,city,signup_date
41,Kemi,Nwankwo,kemi.nwankwo485@gmail.com,Ibadan,2023-11-28
42,Chinedu,Eze,chinedu.eze28@gmail.com,Ibadan,2023-02-24
43,Samuel,Onyeka,samuel.onyeka714@gmail.com,Kano,2024-04-23
44,Fatima,Adeyemi,fatima.adeyemi39@gmail.com,Lagos,2023-09-25
45,Kemi,Adebayo,kemi.adebayo953@gmail.com,Lagos,2024-09-26
46,Tunde,Bandele,tunde.bandele273@gmail.com,Port Harcourt,2023-10-12
47,Abdul,Garba,abdul.garba231@gmail.com,Kano,2023-09-08
48,Hauwa,Bandele,hauwa.bandele86@gmail.com,Ibadan,2023-01-28
49,Aisha,Adebayo,aisha.adebayo474@gmail.com,Lagos,2023-09-03
50,Daniel,Bello,daniel.bello126@gmail.com,Ibadan,2023-01-09
51,Fatima,Abdullahi,fatima.abdullahi812@gmail.com,Lagos,2023-03-13
52,Aisha,Adebayo,aisha.adebayo537@gmail.com,Lagos,2024-06-03
53,Chioma,Olawale,chioma.olawale145@gmail.com,Lagos,2023-08-12
54,Zainab,Adeyemi,zainab.adeyemi525@gmail.com,Kano,2024-02-28
55,Ibrahim,Bello,ibrahim.bello212@gmail.com,Abuja,2024-11-26
56,Aisha,Okoro,aisha.okoro25@gmail.com,Ibadan,2024-06-25
57,Daniel,Okafor,daniel.okafor580@gmail.com,Kano,2024-08-14
58,Samuel,Abdullahi,samuel.abdullahi394@gmail.com,Kano,2024-01-21
59,Chioma,Okafor,chioma.okafor67@gmail.com,Kano,2024-02-29
60,Ibrahim,Onyeka,ibrahim.onyeka233@gmail.com,Kano,2024-12-01
61,Aisha,Olawale,aisha.olawale109@gmail.com,Kano,2023-12-16
62,Abdul,Bandele,abdul.bandele146@gmail.com,Port Harcourt,2024-05-17
63,Chukwuemeka,Nwankwo,chukwuemeka.nwankwo111@gmail.com,Ibadan,2024-08-27
64,Kemi,Ogunleye,kemi.ogunleye228@gmail.com,Kano,2024-01-16
65,Fatima,Sule,fatima.sule111@gmail.com,Ibadan,2023-08-01
66,Abdul,Usman,abdul.usman470@gmail.com,Port Harcourt,2024-10-03
67,Fatima,Abdullahi,fatima.abdullahi34@gmail.com,Port Harcourt,2024-11-15
68,Chukwuemeka,Adebayo,chukwuemeka.adebayo623@gmail.com,Ibadan,2024-12-17
69,Nkechi,Bello,nkechi.bello776@gmail.com,Lagos,2023-10-18
70,Daniel,Obi,daniel.obi936@gmail.com,Abuja,2024-08-26
71,Kemi,Usman,kemi.usman369@gmail.com,Lagos,2023-12-02
72,Nkechi,Ibrahim,nkechi.ibrahim748@gmail.com,Lagos,2024-08-13
73,Oluwaseun,Obi,oluwaseun.obi595@gmail.com,Lagos,2024-08-06
74,Kemi,Garba,kemi.garba554@gmail.com,Kano,2024-04-23
75,Nkechi,Bandele,nkechi.bandele425@gmail.com,Port Harcourt,2023-10-11
76,David,Olawale,david.olawale613@gmail.com,Lagos,2024-08-26
77,Chinedu,Adeyemi,chinedu.adeyemi518@gmail.com,Port Harcourt,2023-11-07
78,Oluwaseun,Sule,oluwaseun.sule692@gmail.com,Ibadan,2024-09-11
79,David,Adeyemi,david.adeyemi282@gmail.com,Abuja,2024-06-02
80,Samuel,Mohammed,samuel.mohammed320@gmail.com,Ibadan,2024-03-02
81,Fatima,Ajayi,fatima.ajayi738@gmail.com,Ibadan,2024-08-12
82,Blessing,Okoro,blessing.okoro443@gmail.com,Kano,2024-01-16
83,Temitope,Okafor,temitope.okafor952@gmail.com,Abuja,2024-01-10
84,Hauwa,Okafor,hauwa.okafor315@gmail.com,Ibadan,2024-07-25
85,Fatima,Ajayi,fatima.ajayi877@gmail.com,Ibadan,2024-04-16
86,Tunde,Onyeka,tunde.onyeka966@gmail.com,Abuja,2023-08-06
87,Tunde,Garba,tunde.garba741@gmail.com,Abuja,2023-10-12
88,David,Abdullahi,david.abdullahi377@gmail.com,Ibadan,2024-03-23
89,Emeka,Balogun,emeka.balogun289@gmail.com,Abuja,2023-09-18
90,Ibrahim,Okoro,ibrahim.okoro437@gmail.com,Ibadan,2024-01-09
91,Chinedu,Ogunleye,chinedu.ogunleye662@gmail.com,Ibadan,2023-10-17
92,Oluwaseun,Eze,oluwaseun.eze277@gmail.com,Kano,2023-04-18
93,Chinedu,Bandele,chinedu.bandele710@gmail.com,Lagos,2023-09-04
94,Oluwaseun,Olawale,oluwaseun.olawale582@gmail.com,Ibadan,2023-09-16
95,Fatima,Mohammed,fatima.mohammed503@gmail.com,Port Harcourt,2024-06-02
96,Samuel,Mohammed,samuel.mohammed624@gmail.com,Lagos,2024-01-15
97,Chioma,Eze,chioma.eze516@gmail.com,Lagos,2023-12-14
98,David,Usman,david.usman350@gmail.com,Lagos,2023-08-21
99,Chukwuemeka,Ibrahim,chukwuemeka.ibrahim843@gmail.com,Kano,2024-09-14
100,Emeka,Balogun,emeka.balogun446@gmail.com,Ibadan,2024-07-30
101,Tunde,Obi,tunde.obi830@gmail.com,Kano,2023-05-17
102,Samuel,Garba,samuel.garba350@gmail.com,Ibadan,2024-05-11
103,Fatima,Okoro,fatima.okoro607@gmail.com,Kano,2023-09-22
104,Tunde,Adebayo,tunde.adebayo664@gmail.com,Kano,2023-01-17
105,David,Olawale,david.olawale823@gmail.com,Port Harcourt,2024-04-10
106,Tunde,Garba,tunde.garba137@gmail.com,Kano,2023-07-15
107,Emeka,Sule,emeka.sule759@gmail.com,Abuja,2024-01-19
108,Kemi,Obi,kemi.obi899@gmail.com,Port Harcourt,2024-01-23
109,Abdul,Bello,abdul.bello243@gmail.com,Kano,2024-03-03
110,Tunde,Abdullahi,tunde.abdullahi543@gmail.com,Lagos,2024-10-25
111,David,Ajayi,david.ajayi40@gmail.com,Abuja,2023-11-27
112,Emeka,Onyeka,emeka.onyeka229@gmail.com,Abuja,2023-11-26
113,Abdul,Ajayi,abdul.ajayi548@gmail.com,Abuja,2023-03-10
114,Chinedu,Eze,chinedu.eze920@gmail.com,Port Harcourt,2023-03-21
115,Oluwaseun,Nwankwo,oluwaseun.nwankwo223@gmail.com,Kano,2023-10-08
116,Kemi,Mohammed,kemi.mohammed6@gmail.com,Kano,2023-01-26
117,Kemi,Bandele,kemi.bandele322@gmail.com,Lagos,2023-10-05
118,Ibrahim,Bandele,ibrahim.bandele468@gmail.com,Lagos,2023-05-07
119,Nkechi,Okoro,nkechi.okoro732@gmail.com,Abuja,2023-05-09
120,Temitope,Okafor,temitope.okafor75@gmail.com,Lagos,2024-07-16
121,Chinedu,Sule,chinedu.sule4@gmail.com,Port Harcourt,2024-03-25
122,Hauwa,Olawale,hauwa.olawale847@gmail.com,Kano,2024-11-10
123,Maryam,Obi,maryam.obi646@gmail.com,Abuja,2023-05-27
124,Aisha,Bandele,aisha.bandele118@gmail.com,Lagos,2024-01-06
125,Emeka,Sule,emeka.sule881@gmail.com,Port Harcourt,2023-11-12
126,Chinedu,Usman,chinedu.usman606@gmail.com,Port Harcourt,2023-04-07
127,Nkechi,Eze,nkechi.eze504@gmail.com,Lagos,2023-09-17
128,Kemi,Adebayo,kemi.adebayo998@gmail.com,Kano,2024-07-06
129,Blessing,Mohammed,blessing.mohammed947@gmail.com,Lagos,2023-10-10
130,Aisha,Sule,aisha.sule574@gmail.com,Abuja,2023-08-01
131,Nkechi,Ajayi,nkechi.ajayi441@gmail.com,Lagos,2023-11-03
132,Chinedu,Eze,chinedu.eze194@gmail.com,Port Harcourt,2024-05-04
133,Temitope,Adeyemi,temitope.adeyemi847@gmail.com,Lagos,2023-03-05
134,Chioma,Eze,chioma.eze715@gmail.com,Kano,2023-12-13
135,Ibrahim,Okoro,ibrahim.okoro392@gmail.com,Ibadan,2023-12-01
136,Nkechi,Onyeka,nkechi.onyeka26@gmail.com,Lagos,2023-09-19
137,Zainab,Adeyemi,zainab.adeyemi435@gmail.com,Kano,2024-05-06
138,Samuel,Garba,samuel.garba173@gmail.com,Kano,2024-08-04
139,Samuel,Eze,samuel.eze300@gmail.com,Port Harcourt,2024-11-18
140,Maryam,Mohammed,maryam.mohammed645@gmail.com,Kano,2023-03-09
141,Blessing,Sule,blessing.sule326@gmail.com,Kano,2023-07-01
142,Chinedu,Sule,chinedu.sule410@gmail.com,Kano,2023-12-04
143,David,Usman,david.usman118@gmail.com,Kano,2023-08-12
144,David,Ibrahim,david.ibrahim836@gmail.com,Abuja,2024-12-19
145,Maryam,Bandele,maryam.bandele787@gmail.com,Abuja,2024-10-11
146,Nkechi,Eze,nkechi.eze724@gmail.com,Port Harcourt,2023-11-24
147,Oluwaseun,Abdullahi,oluwaseun.abdullahi225@gmail.com,Lagos,2023-06-22
148,Tunde,Eze,tunde.eze532@gmail.com,Kano,2024-12-08
149,Chinedu,Ibrahim,chinedu.ibrahim113@gmail.com,Lagos,2024-07-20
150,Zainab,Okafor,zainab.okafor140@gmail.com,Lagos,2023-06-14
151,Fatima,Garba,fatima.garba559@gmail.com,Port Harcourt,2024-01-30
152,Oluwaseun,Abdullahi,oluwaseun.abdullahi1@gmail.com,Kano,2024-04-18
153,Emeka,Ajayi,emeka.ajayi90@gmail.com,Kano,2024-01-20
154,David,Bandele,david.bandele654@gmail.com,Ibadan,2024-06-22
155,Temitope,Eze,temitope.eze320@gmail.com,Lagos,2024-10-29
156,Ibrahim,Obi,ibrahim.obi550@gmail.com,Lagos,2024-04-07
157,Samuel,Ibrahim,samuel.ibrahim805@gmail.com,Abuja,2023-02-22
158,Kemi,Sule,kemi.sule894@gmail.com,Ibadan,2023-12-16
159,Oluwaseun,Sule,oluwaseun.sule139@gmail.com,Abuja,2023-11-01
160,Maryam,Okafor,maryam.okafor511@gmail.com,Abuja,2024-10-31
161,Hauwa,Onyeka,hauwa.onyeka868@gmail.com,Abuja,2023-09-15
162,Hauwa,Garba,hauwa.garba845@gmail.com,Port Harcourt,2023-10-07
163,Maryam,Mohammed,maryam.mohammed259@gmail.com,Port Harcourt,2023-03-16
164,Samuel,Bello,samuel.bello673@gmail.com,Abuja,2023-09-28
165,Chinedu,Adebayo,chinedu.adebayo902@gmail.com,Ibadan,2024-09-28
166,Chioma,Bandele,chioma.bandele690@gmail.com,Lagos,2023-04-12
167,Tunde,Bandele,tunde.bandele10@gmail.com,Ibadan,2024-06-01
168,Hauwa,Ajayi,hauwa.ajayi261@gmail.com,Kano,2023-10-09
169,Emeka,Ogunleye,emeka.ogunleye919@gmail.com,Port Harcourt,2023-12-23
170,Hauwa,Eze,hauwa.eze650@gmail.com,Lagos,2023-11-15
171,Hauwa,Mohammed,hauwa.mohammed172@gmail.com,Lagos,2023-06-24
172,Hauwa,Adebayo,hauwa.adebayo898@gmail.com,Kano,2024-06-30
173,Chioma,Bandele,chioma.bandele13@gmail.com,Kano,2024-07-01
174,Chioma,Bandele,chioma.bandele168@gmail.com,Abuja,2024-02-22
175,Emeka,Olawale,emeka.olawale642@gmail.com,Port Harcourt,2023-08-30
176,David,Abdullahi,david.abdullahi596@gmail.com,Port Harcourt,2024-09-18
177,David,Ogunleye,david.ogunleye321@gmail.com,Ibadan,2023-07-09
178,Temitope,Mohammed,temitope.mohammed319@gmail.com,Abuja,2024-06-06
179,Chioma,Obi,chioma.obi613@gmail.com,Abuja,2024-02-12
180,Samuel,Mohammed,samuel.mohammed329@gmail.com,Abuja,2023-01-20
181,Zainab,Adeyemi,zainab.adeyemi785@gmail.com,Abuja,2023-05-23
182,Aisha,Okafor,aisha.okafor777@gmail.com,Port Harcourt,2024-09-03
183,Blessing,Ajayi,blessing.ajayi971@gmail.com,Port Harcourt,2024-12-16
184,Hauwa,Bello,hauwa.bello911@gmail.com,Abuja,2023-01-05
185,Zainab,Adebayo,zainab.adebayo920@gmail.com,Ibadan,2024-03-29
186,Emeka,Onyeka,emeka.onyeka550@gmail.com,Lagos,2023-09-05
187,Maryam,Olawale,maryam.olawale419@gmail.com,Lagos,2024-03-23
188,Chioma,Abdullahi,chioma.abdullahi606@gmail.com,Ibadan,2023-02-20
189,Zainab,Okafor,zainab.okafor95@gmail.com,Abuja,2023-05-15
190,Blessing,Ajayi,blessing.ajayi817@gmail.com,Port Harcourt,2023-06-01
191,Chukwuemeka,Nwankwo,chukwuemeka.nwankwo581@gmail.com,Lagos,2024-07-29
192,Chukwuemeka,Usman,chukwuemeka.usman318@gmail.com,Kano,2023-10-13
193,David,Ibrahim,david.ibrahim956@gmail.com,Kano,2024-04-02
194,Oluwaseun,Bello,oluwaseun.bello236@gmail.com,Ibadan,2024-03-01
195,Zainab,Obi,zainab.obi946@gmail.com,Abuja,2024-07-17
196,Chukwuemeka,Ogunleye,chukwuemeka.ogunleye334@gmail.com,Lagos,2024-04-21
197,Tunde,Ibrahim,tunde.ibrahim885@gmail.com,Abuja,2023-12-20
198,Maryam,Ibrahim,maryam.ibrahim376@gmail.com,Lagos,2024-09-15
199,Aisha,Abdullahi,aisha.abdullahi459@gmail.com,Ibadan,2024-01-07
200,Temitope,Eze,temitope.eze137@gmail.com,Ibadan,2024-01-22
201,Tunde,Nwankwo,tunde.nwankwo930@gmail.com,Kano,2024-10-08
202,Temitope,Adebayo,temitope.adebayo588@gmail.com,Abuja,2024-02-15
203,Maryam,Onyeka,maryam.onyeka995@gmail.com,Kano,2023-11-24
204,Chinedu,Adebayo,chinedu.adebayo547@gmail.com,Abuja,2024-05-20
205,Maryam,Sule,maryam.sule513@gmail.com,Kano,2023-05-23
206,Oluwaseun,Ibrahim,oluwaseun.ibrahim296@gmail.com,Port Harcourt,2023-09-18
207,David,Bello,david.bello320@gmail.com,Port Harcourt,2023-01-30
208,Fatima,Onyeka,fatima.onyeka918@gmail.com,Port Harcourt,2024-12-21
209,Chinedu,Usman,chinedu.usman572@gmail.com,Port Harcourt,2024-10-22
210,Daniel,Eze,daniel.eze832@gmail.com,Lagos,2024-03-12
211,Fatima,Mohammed,fatima.mohammed349@gmail.com,Port Harcourt,2023-08-20
212,David,Onyeka,david.onyeka840@gmail.com,Ibadan,2024-05-29
213,Blessing,Obi,blessing.obi779@gmail.com,Ibadan,2024-06-08
214,Daniel,Adebayo,daniel.adebayo873@gmail.com,Lagos,2023-12-17
215,Ibrahim,Nwankwo,ibrahim.nwankwo229@gmail.com,Port Harcourt,2024-12-28
216,Tunde,Onyeka,tunde.onyeka270@gmail.com,Port Harcourt,2023-01-04
217,Chinedu,Onyeka,chinedu.onyeka828@gmail.com,Port Harcourt,2024-01-26
218,Chukwuemeka,Garba,chukwuemeka.garba798@gmail.com,Kano,2023-06-17
219,Chukwuemeka,Sule,chukwuemeka.sule291@gmail.com,Abuja,2023-04-17
220,Maryam,Obi,maryam.obi725@gmail.com,Kano,2024-04-07
221,Hauwa,Ajayi,hauwa.ajayi165@gmail.com,Abuja,2024-03-10
222,Chioma,Onyeka,chioma.onyeka5@gmail.com,Port Harcourt,2024-06-05
223,David,Ibrahim,david.ibrahim851@gmail.com,Port Harcourt,2024-02-05
224,Chukwuemeka,Mohammed,chukwuemeka.mohammed379@gmail.com,Kano,2024-10-29
225,Samuel,Nwankwo,samuel.nwankwo78@gmail.com,Kano,2024-04-24
226,Emeka,Ajayi,emeka.ajayi410@gmail.com,Abuja,2024-12-30
227,Emeka,Mohammed,emeka.mohammed574@gmail.com,Ibadan,2024-10-15
228,Oluwaseun,Nwankwo,oluwaseun.nwankwo132@gmail.com,Abuja,2024-05-19
229,Oluwaseun,Usman,oluwaseun.usman601@gmail.com,Kano,2023-08-11
230,Tunde,Adeyemi,tunde.adeyemi749@gmail.com,Kano,2024-03-10
231,Temitope,Garba,temitope.garba42@gmail.com,Lagos,2023-02-25
232,Chukwuemeka,Ajayi,chukwuemeka.ajayi89@gmail.com,Kano,2023-03-05
233,Chukwuemeka,Okoro,chukwuemeka.okoro402@gmail.com,Lagos,2024-11-21
234,Tunde,Sule,tunde.sule296@gmail.com,Ibadan,2023-05-01
235,Maryam,Eze,maryam.eze840@gmail.com,Abuja,2024-10-06
236,David,Adebayo,david.adebayo295@gmail.com,Abuja,2023-08-24
237,Maryam,Mohammed,maryam.mohammed616@gmail.com,Lagos,2024-08-09
238,Blessing,Garba,blessing.garba526@gmail.com,Abuja,2024-11-12
239,Hauwa,Ibrahim,hauwa.ibrahim800@gmail.com,Kano,2023-07-31
240,Fatima,Sule,fatima.sule691@gmail.com,Port Harcourt,2023-10-11
241,Aisha,Usman,aisha.usman637@gmail.com,Lagos,2024-09-29
242,Zainab,Obi,zainab.obi422@gmail.com,Abuja,2023-03-13
243,Fatima,Abdullahi,fatima.abdullahi865@gmail.com,Lagos,2024-08-01
244,Maryam,Usman,maryam.usman23@gmail.com,Lagos,2023-02-13
245,Tunde,Adeyemi,tunde.adeyemi575@gmail.com,Port Harcourt,2023-01-01
246,Chukwuemeka,Eze,chukwuemeka.eze143@gmail.com,Kano,2024-10-08
247,Tunde,Adebayo,tunde.adebayo993@gmail.com,Lagos,2024-11-08
248,Daniel,Ogunleye,daniel.ogunleye665@gmail.com,Abuja,2023-10-10
249,Abdul,Ogunleye,abdul.ogunleye145@gmail.com,Ibadan,2023-03-06
250,Daniel,Bello,daniel.bello225@gmail.com,Lagos,2024-02-14
